### header ###
fiducial parameters:
Omega_m = 0.31
Omega_nu = 0
Omega_de = 0.69
Omega_k = 0
H_0 = 100
w_de = -1
zeff = 0.61
beta = 0
fgrowth = 0
b_1 = 2
gamma = 0.55
Lx = 1800 Ly = 3400 Lz = 1900
nx = 340 ny = 650 nz = 360
xoffset = -982.047 yoffset = -47.9468 zoffset = 798.097
bins = 120 dk = 0.005
kx_ny = 0.593412 ky_ny = 0.600599 kz_ny = 0.595249
############################
A(data) = 8.68915 (not used)
A(ran) = 8.81219 (used)
Ngal = 435742
weighted Ngal = 142822
Nran = 22768186
weighted Nran = 7.1241e+06
SN(data) = 6346.91
SN(ran) = 124.442
SN(data+ran) = 6471.36
############################
5 columns: k_central k_mean P_0(k) P_2(k) N_modes
### header ###
0.0025 0.00394609 196711 -5194.11 12
0.0075 0.00799572 108901 52590.9 84
0.0125 0.0128299 64834.3 6913.26 236
0.0175 0.0176987 65014.5 6660.9 445
0.0225 0.022689 58591.4 25742.1 766
0.0275 0.0277257 47861.9 30896.6 1134
0.0325 0.0327005 46878.5 16175.9 1551
0.0375 0.0376284 42786.1 14952.9 2048
0.0425 0.0425863 36048 14704.3 2669
0.0475 0.0475728 34655.7 12591.6 3301
0.0525 0.0525593 31364 11529.4 4090
0.0575 0.0575636 29491.3 9387.57 4843
0.0625 0.0625464 27818.7 10079.7 5769
0.0675 0.0675597 26995.6 8362.93 6730
0.0725 0.0725627 24385 9144.91 7759
0.0775 0.0775544 22513.6 7998.33 8816
0.0825 0.0825442 20988.7 6923.5 10029
0.0875 0.0875523 18596.9 5659.53 11326
0.0925 0.0925546 17234.8 6055.24 12584
0.0975 0.0975479 16415.3 4839.54 13998
0.1025 0.102541 14954.1 5009.01 15463
0.1075 0.107549 13802.9 4763.72 17090
0.1125 0.11254 13136.6 4090.29 18543
0.1175 0.117536 12480.1 4134.57 20392
0.1225 0.122537 12399 3869.22 22101
0.1275 0.127537 11865.3 3998.17 23927
0.1325 0.132534 11036.7 3397.53 25889
0.1375 0.137548 10243 3006.59 27956
0.1425 0.142536 9621.6 2835.53 29709
0.1475 0.147524 9206.29 2586.36 32094
0.1525 0.152527 8901.48 2123.46 34267
0.1575 0.157523 8281.44 2525.12 36464
0.1625 0.162513 7842.4 2134.89 38814
0.1675 0.167517 7567.99 1817.42 41463
0.1725 0.172524 7256.58 2279 43812
0.1775 0.17752 6971.17 2371.63 46366
0.1825 0.182514 6825.6 1983.36 48963
0.1875 0.187517 6676.28 1873.98 51934
0.1925 0.192521 6363.25 1664.81 54525
0.1975 0.197525 6108.74 1548.34 57581
0.2025 0.202521 5892.36 1355.22 60216
0.2075 0.20752 5568.16 1361.84 63559
0.2125 0.212526 5418.5 1464.4 66534
0.2175 0.217525 5200.35 1269.16 69632
0.2225 0.222522 5076.32 1123.91 72901
0.2275 0.227519 4798.24 1041.28 76155
0.2325 0.232519 4641.16 1206.17 79657
0.2375 0.237519 4628.62 859.573 83108
0.2425 0.242516 4486.87 1014.72 86387
0.2475 0.247508 4301.16 1062.52 90243
0.2525 0.25251 4216.99 807.873 93874
0.2575 0.257513 4095.59 563.331 97875
0.2625 0.262516 3839.13 653.952 101344
0.2675 0.267516 3734.56 591.721 105560
0.2725 0.272517 3567.48 620.905 109223
0.2775 0.277518 3504.5 472.449 113604
0.2825 0.28252 3422.32 356.432 117450
0.2875 0.287513 3386.78 323.146 121521
0.2925 0.29251 3269.72 277.385 126064
0.2975 0.297511 3101.24 269.726 130357
