### header ###
fiducial parameters:
Omega_m = 0.31
Omega_nu = 0
Omega_de = 0.69
Omega_k = 0
H_0 = 100
w_de = -1
zeff = 0.38
beta = 0
fgrowth = 0
b_1 = 2
gamma = 0.55
Lx = 1000 Ly = 1900 Lz = 1100
nx = 190 ny = 360 nz = 210
xoffset = 860.662 yoffset = 18.9864 zoffset = 261.444
bins = 120 dk = 0.005
kx_ny = 0.596903 ky_ny = 0.595249 kz_ny = 0.599759
############################
A(data) = 3.14154 (not used)
A(ran) = 3.16884 (used)
Ngal = 174820
weighted Ngal = 41331
Nran = 8582357
weighted Nran = 1.96154e+06
SN(data) = 3129.11
SN(ran) = 64.1167
SN(data+ran) = 3193.23
############################
5 columns: k_central k_mean P_0(k) P_2(k) N_modes
### header ###
0.0025 0.00330694 168463 -209586 1
0.0075 0.00806043 80086.2 -61367.9 18
0.0125 0.0131235 73102.9 2294.57 43
0.0175 0.0179886 78274.2 -678.162 84
0.0225 0.0227216 59620.7 44098.4 126
0.0275 0.0276416 64027.8 40363 206
0.0325 0.032776 55156.2 35114.4 293
0.0375 0.0377197 46267.9 24755.1 358
0.0425 0.0425821 39996.5 5489.71 476
0.0475 0.047509 38222.5 2720.73 585
0.0525 0.0525105 35192.2 4956.85 743
0.0575 0.0575804 30989.1 6277.02 880
0.0625 0.0625991 30326.2 10817.1 1043
0.0675 0.0675992 26944.7 12502.8 1202
0.0725 0.0725367 25493.2 10857.2 1376
0.0775 0.0774941 23008.6 11782.9 1574
0.0825 0.0825179 21039.3 5416.19 1830
0.0875 0.0876137 18730.1 4971.54 2078
0.0925 0.092629 17959.8 5038.3 2235
0.0975 0.0975422 16054.8 5120.12 2477
0.1025 0.102546 15448.2 3735.04 2827
0.1075 0.107588 14873.6 4926.12 3056
0.1125 0.112567 12980.2 5113.22 3335
0.1175 0.117505 12682.2 2843.84 3602
0.1225 0.122471 12272.3 3611 3977
0.1275 0.127496 11865.9 3429.27 4322
0.1325 0.132499 11524.2 3701.8 4629
0.1375 0.137521 10785.8 3443.12 5062
0.1425 0.14253 9756.81 2235.12 5345
0.1475 0.147522 9432.8 2765.85 5779
0.1525 0.152533 9019.8 2433.43 6165
0.1575 0.15755 8761.27 2176.03 6602
0.1625 0.162538 7916.31 1715.36 6924
0.1675 0.167527 7724.97 1903.35 7464
0.1725 0.172527 7248.59 1494.4 7864
0.1775 0.177532 7109.64 1852.14 8352
0.1825 0.182538 6859.11 825.908 8829
0.1875 0.187514 6792.82 1350.19 9206
0.1925 0.192497 6430.57 640.7 9853
0.1975 0.197499 6204.56 1025.68 10307
0.2025 0.202514 5815.51 1574.55 10922
0.2075 0.207542 5699.79 1624.5 11452
0.2125 0.212537 5412.81 1039.59 11876
0.2175 0.217515 5253.52 686.618 12507
0.2225 0.222525 5172.01 1213.97 13171
0.2275 0.22754 4802.06 1079.93 13717
0.2325 0.232535 4708.26 1044.94 14266
0.2375 0.237508 4642.53 837.989 14837
0.2425 0.242485 4527.21 503.298 15532
0.2475 0.247495 4498.44 884.398 16287
0.2525 0.252513 4350.2 729.707 16924
0.2575 0.257526 4145.8 538.035 17597
0.2625 0.26253 3927.66 487.858 18222
0.2675 0.267517 3846.81 151.324 18880
0.2725 0.272504 3740.58 160.1 19618
0.2775 0.27751 3648.84 333.755 20463
0.2825 0.282523 3439.59 300.371 21153
0.2875 0.287523 3439.18 169.784 21865
0.2925 0.292514 3369.9 39.4051 22601
0.2975 0.297509 3307.89 321.628 23429
