### header ###
fiducial parameters:
Omega_m = 0.31
Omega_nu = 0
Omega_de = 0.69
Omega_k = 0
H_0 = 100
w_de = -1
zeff = 0.51
beta = 0
fgrowth = 0
b_1 = 2
gamma = 0.55
Lx = 1500 Ly = 2850 Lz = 1600
nx = 290 ny = 540 nz = 300
xoffset = -822.287 yoffset = -36.2185 zoffset = 665.927
bins = 120 dk = 0.005
kx_ny = 0.607375 ky_ny = 0.595249 kz_ny = 0.589049
############################
A(data) = 9.25589 (not used)
A(ran) = 9.37569 (used)
Ngal = 500875
weighted Ngal = 123760
Nran = 26017553
weighted Nran = 6.10998e+06
SN(data) = 3327.9
SN(ran) = 64.8197
SN(data+ran) = 3392.72
############################
5 columns: k_central k_mean P_0(k) P_2(k) N_modes
### header ###
0.0025 0.00415047 119795 4895.63 8
0.0075 0.0082767 80755 25616.9 54
0.0125 0.01297 67107.3 24018.2 136
0.0175 0.0177674 64447.3 16907.7 262
0.0225 0.0226764 58150.4 15624.9 442
0.0275 0.0276763 49551.7 23839.7 663
0.0325 0.0325977 48692.2 15904.5 892
0.0375 0.0375722 42142.2 14447.8 1240
0.0425 0.0426568 36788.4 15175.2 1606
0.0475 0.0476192 33190.7 14212.2 1896
0.0525 0.052567 31037.7 13947 2414
0.0575 0.0575889 30530.9 10881.1 2873
0.0625 0.0625774 29351.1 11740.8 3382
0.0675 0.0675484 27722.6 11635.9 3914
0.0725 0.0725186 24048.5 11304.1 4532
0.0775 0.0775272 22742.3 7368.72 5251
0.0825 0.082546 21108.5 6664.21 5900
0.0875 0.0875467 19176.5 7237.09 6636
0.0925 0.0925566 17766.5 7194.88 7442
0.0975 0.0975454 15995.6 5819.42 8196
0.1025 0.102525 15084.7 5154.4 9075
0.1075 0.107535 14256.5 4895.18 10073
0.1125 0.112537 12882 4271.56 10929
0.1175 0.117537 12569.3 4293.49 12026
0.1225 0.122542 12197.6 4298.12 12952
0.1275 0.127534 11586.7 4111.19 14080
0.1325 0.132533 10761.1 3431.56 15229
0.1375 0.137527 10387.2 3260.69 16360
0.1425 0.142532 9965.02 3017.52 17638
0.1475 0.147525 9449.02 3136.37 18742
0.1525 0.152516 8863.98 2887.77 20205
0.1575 0.157522 8400.59 2576.42 21490
0.1625 0.162532 7808.95 2385.24 22969
0.1675 0.167535 7687.61 2114.45 24245
0.1725 0.172522 7358.37 2076.37 25754
0.1775 0.177514 6889.09 2065.22 27228
0.1825 0.18251 6740.46 1965.69 28848
0.1875 0.187517 6666.38 1648.53 30571
0.1925 0.192526 6275.12 1743.06 32130
0.1975 0.197523 6225.69 1555.03 33724
0.2025 0.202517 5918.6 1496.5 35487
0.2075 0.207521 5632.15 1322.42 37410
0.2125 0.212517 5277.86 1374.51 38994
0.2175 0.21751 5081.58 1267.83 40981
0.2225 0.222515 4976.05 1212.2 42977
0.2275 0.227524 4846.48 1071.2 44912
0.2325 0.232519 4636.79 1023.23 46669
0.2375 0.237511 4548.34 863.787 48881
0.2425 0.242516 4374.09 638.112 51039
0.2475 0.247517 4187.65 810.954 53022
0.2525 0.252506 4015.68 784.645 55042
0.2575 0.257509 3982.15 586.969 57670
0.2625 0.262521 3798.8 743.708 59763
0.2675 0.267522 3641.08 580.921 61970
0.2725 0.272513 3562.51 411.646 64135
0.2775 0.277512 3422.51 416.785 66879
0.2825 0.282518 3369.43 325.963 69103
0.2875 0.287511 3309.07 302.641 71518
0.2925 0.29251 3167.58 288.017 74157
0.2975 0.297514 3099.74 303.704 76799
