### header ###
fiducial parameters:
Omega_m = 0.31
Omega_nu = 0
Omega_de = 0.69
Omega_k = 0
H_0 = 100
w_de = -1
zeff = 0.51
beta = 0
fgrowth = 0
b_1 = 2
gamma = 0.55
Lx = 850 Ly = 2250 Lz = 1300
nx = 160 ny = 430 nz = 240
xoffset = 1152.27 yoffset = 19.9115 zoffset = 307.117
bins = 120 dk = 0.005
kx_ny = 0.591359 ky_ny = 0.600393 kz_ny = 0.579986
############################
A(data) = 3.43803 (not used)
A(ran) = 3.482 (used)
Ngal = 185500
weighted Ngal = 45897.1
Nran = 9254975
weighted Nran = 2.1894e+06
SN(data) = 3307.53
SN(ran) = 66.6894
SN(data+ran) = 3374.22
############################
5 columns: k_central k_mean P_0(k) P_2(k) N_modes
### header ###
0.0025 0.00381287 51956.6 -51553 2
0.0075 0.00826743 71406.9 19877.9 20
0.0125 0.0128945 84903.3 -62245.1 48
0.0175 0.0176088 64241.2 59397 95
0.0225 0.0228492 54165.4 14999.6 173
0.0275 0.0277943 52357.2 3336.3 230
0.0325 0.0326944 51245.8 15760 345
0.0375 0.0377872 47004.3 28842.4 444
0.0425 0.0427588 37810.7 13715.7 574
0.0475 0.047657 33981.5 7825.62 702
0.0525 0.0526337 34508.6 10325.9 866
0.0575 0.0575804 29885.7 9322.52 1028
0.0625 0.0625606 26999.3 11269.4 1247
0.0675 0.0676203 26459.7 11398.4 1448
0.0725 0.0726216 24376.2 11381.7 1651
0.0775 0.0775839 22318 8443.76 1893
0.0825 0.0825238 19236.7 5732.3 2074
0.0875 0.0875255 18187.8 3911.86 2482
0.0925 0.0925692 17191.2 4667.54 2701
0.0975 0.0975872 16006.7 5100.34 2997
0.1025 0.102585 14848 5448.92 3302
0.1075 0.107555 13589.8 3966.88 3629
0.1125 0.112555 12791.3 4016.73 3992
0.1175 0.117565 12094.8 3617.77 4361
0.1225 0.122537 11985.8 3023.8 4689
0.1275 0.127539 11423 3560.76 5136
0.1325 0.132544 10665.4 3288.46 5528
0.1375 0.137492 10476.2 2357.18 5867
0.1425 0.142483 9717.41 2726.55 6434
0.1475 0.147511 9112.45 2937.13 6854
0.1525 0.152496 8769.24 3086.92 7329
0.1575 0.157528 8427.69 2842.21 7888
0.1625 0.162538 7804.88 3053.2 8246
0.1675 0.167477 7267.02 1784.39 8730
0.1725 0.172506 6812.97 2023.53 9566
0.1775 0.177571 6661.78 1454.71 9964
0.1825 0.182525 6535.87 1009.37 10288
0.1875 0.187503 6123.92 1544.19 11193
0.1925 0.192538 6086.92 1101.96 11661
0.1975 0.197521 5854.01 864.787 12242
0.2025 0.202521 5716.71 887.897 12989
0.2075 0.20754 5423.13 980.56 13528
0.2125 0.212522 5290.06 542.598 14165
0.2175 0.217521 5190.32 1033.8 15009
0.2225 0.222541 4927.83 872.568 15540
0.2275 0.227523 4720.86 944.323 16256
0.2325 0.232498 4450.87 698.707 16919
0.2375 0.237515 4437.71 1012.89 17971
0.2425 0.242523 4380.64 773.751 18360
0.2475 0.247508 4179.42 866.194 19389
0.2525 0.252517 4202.55 794.207 19978
0.2575 0.257521 3933.53 578.406 21014
0.2625 0.262523 3886.17 563.719 21654
0.2675 0.267524 3764.75 498.647 22544
0.2725 0.272518 3683.74 278 23294
0.2775 0.277501 3509.83 295.229 24243
0.2825 0.282502 3312.09 317.867 25104
0.2875 0.287499 3138.77 488.415 26002
0.2925 0.292483 3129.69 560.652 26863
0.2975 0.297506 3084.66 267.964 28130
